ID,Problem Name,Topic,Difficulty,LeetCode URL,YouTube URL
136,"Largest Odd Number in a String","Strings [Basic and Medium]",Easy,"https://leetcode.com/problems/largest-odd-number-in-string/",""
137,"Longest Common Prefix","Strings [Basic and Medium]",Easy,"https://leetcode.com/problems/longest-common-prefix/",""
138,"Isomorphic String","Strings [Basic and Medium]",Easy,"https://leetcode.com/problems/isomorphic-strings/",""
139,"Rotate String","Strings [Basic and Medium]",Easy,"https://leetcode.com/problems/rotate-string/",""
140,"Check if two strings are anagram of each other","Strings [Basic and Medium]",Easy,"https://leetcode.com/problems/valid-anagram/#:~:text=Given%20two%20strings%20s%20and,the%20original%20letters%20exactly%20once.&text=Constraints%3A,.length%20%3C%3D%205%20*%2010",""
141,"Sort Characters by Frequency","Strings [Basic and Medium]",Easy,"https://leetcode.com/problems/sort-characters-by-frequency/",""
142,"Maximum Nesting Depth of the Parentheses","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/",""
143,"Roman to Integer","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/roman-to-integer/",""
144,"String to Integer (atoi)","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/string-to-integer-atoi/",""
145,"Count Number of Substrings","Strings [Basic and Medium]",Easy,"",""
146,"Longest Palindromic Substring","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/longest-palindromic-substring/",""
147,"Sum of Beauty of All Substrings","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/sum-of-beauty-of-all-substrings/",""
148,"Reverse every word in a string","Strings [Basic and Medium]",Medium,"https://leetcode.com/problems/reverse-words-in-a-string/",""
149,"Introduction to Singly LinkedList","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"","https://youtu.be/Nq7ok-OyEpg?si=9PR1o8OPRWil7fRA"
150,"Insertion at the head of Linked List","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"","https://youtu.be/VaECK03Dz-g?si=vHSwdf9jhE05adKM&t=1934"
151,"Deletion of the head of LL","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"https://leetcode.com/problems/delete-node-in-a-linked-list/","https://youtu.be/VaECK03Dz-g?si=CRaBHbOo2bHFbOT5"
152,"Find the length of the Linked List","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"","https://youtu.be/Nq7ok-OyEpg?si=xqQbukLfo2oZ6C6s&t=2240"
153,"Search in Linked List","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Medium,"","https://youtu.be/Nq7ok-OyEpg?si=WNXcIaXZ_B6cNq0s&t=2524"
154,"Introduction to Doubly LL","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"","https://youtu.be/0eKMU10uEDI?si=uDnoj_C5ghEpNLvP"
155,"Insert node before head in Doubly Linked List","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"","https://youtu.be/0eKMU10uEDI?si=J5a0pQTosimcO_aA&t=2684"
156,"Delete head of Doubly Linked List","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"","https://youtu.be/0eKMU10uEDI?si=sE7jqrW46lfRHVLd&t=853"
157,"Reverse a Doubly Linked List","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Medium,"","https://youtu.be/u3WUW2qe6ww?si=96Wwlju72IvmzkxE"
158,"Middle of a LinkedList [TortoiseHare Method]","Learn LinkedList [Single LL, Double LL, Medium, Hard Problems]",Easy,"https://leetcode.com/problems/middle-of-the-linked-list/","https://youtu.be/7LjQ57RqgEc?si=ir_rRDio38rhamU_"
